iter	Passed	Remaining
167	4161	20608
168	4177	20542
169	4194	20479
170	4220	20461
171	4235	20391
172	4251	20323
173	4263	20237
174	4279	20175
175	4296	20114
176	4313	20054
177	4327	19984
178	4343	19921
179	4358	19857
180	4374	19793
181	4389	19729
182	4406	19671
183	4423	19616
184	4438	19555
185	4454	19493
186	4470	19434
187	4483	19366
188	4493	19283
189	4508	19221
190	4523	19161
191	4540	19106
192	4556	19050
193	4571	18990
194	4587	18937
195	4604	18886
196	4620	18833
197	4636	18780
198	4652	18725
199	4667	18670
200	4682	18613
201	4698	18560
202	4713	18505
203	4723	18432
204	4738	18375
205	4751	18313
206	4765	18256
207	4780	18201
208	4798	18161
209	4815	18117
210	4831	18066
211	4847	18016
212	4861	17963
213	4876	17912
214	4893	17865
215	4904	17801
216	4919	17751
217	4935	17702
218	4949	17651
219	4964	17603
220	4981	17559
221	4996	17509
222	5011	17462
223	5024	17406
224	5034	17340
225	5049	17292
226	5063	17242
227	5076	17189
228	5091	17141
229	5101	17079
230	5115	17029
231	5129	16982
232	5145	16938
233	5161	16894
234	5176	16852
235	5191	16807
236	5202	16750
237	5213	16691
238	5226	16641
239	5262	16664
240	5291	16665
241	5309	16630
242	5324	16587
243	5339	16543
244	5354	16500
245	5366	16449
246	5382	16408
247	5402	16382
248	5420	16349
249	5435	16306
250	5453	16273
251	5472	16243
252	5488	16206
253	5503	16165
254	5520	16129
255	5538	16097
256	5556	16063
257	5573	16028
258	5590	15993
259	5607	15958
260	5624	15924
261	5646	15905
262	5672	15896
263	5691	15867
264	5710	15837
265	5730	15811
266	5756	15802
267	5782	15792
268	5804	15773
269	5826	15753
270	5847	15730
271	5865	15699
272	5883	15667
273	5898	15629
274	5914	15592
275	5928	15552
276	5939	15502
277	5956	15469
278	5971	15430
279	5986	15393
280	6001	15357
281	6018	15323
282	6034	15287
283	6049	15251
284	6065	15217
285	6082	15184
286	6098	15149
287	6113	15115
288	6130	15082
289	6146	15047
290	6161	15012
291	6181	14988
292	6202	14965
293	6228	14956
294	6261	14962
295	6281	14940
296	6301	14916
297	6326	14902
298	6345	14876
299	6366	14856
300	6395	14852
301	6416	14831
302	6441	14817
303	6463	14798
304	6482	14772
305	6499	14739
306	6513	14703
307	6527	14666
308	6541	14627
309	6554	14589
310	6564	14542
311	6576	14502
312	6589	14463
313	6604	14428
314	6614	14384
315	6627	14345
316	6640	14306
317	6652	14267
318	6662	14223
319	6675	14185
320	6688	14147
321	6701	14110
322	6711	14066
323	6725	14031
324	6739	13997
325	6753	13961
326	6769	13931
327	6784	13900
328	6794	13858
329	6809	13824
330	6822	13788
331	6836	13754
332	6850	13722
333	6863	13686
334	6875	13648
335	6887	13611
336	6900	13575
337	6910	13534
338	6923	13499
339	6938	13469
340	6955	13442
341	6972	13414
342	6989	13387
343	7006	13361
344	7023	13334
345	7048	13321
346	7065	13296
347	7085	13275
348	7102	13248
349	7118	13220
350	7134	13191
351	7148	13160
352	7162	13128
353	7172	13088
354	7187	13058
355	7199	13023
356	7212	12990
357	7221	12951
358	7245	12936
359	7256	12899
360	7270	12868
361	7284	12837
362	7298	12806
363	7312	12776
364	7322	12739
365	7335	12706
366	7348	12674
367	7362	12644
368	7376	12613
369	7386	12577
370	7400	12547
371	7414	12517
372	7427	12484
373	7436	12447
374	7449	12415
375	7462	12383
376	7474	12352
377	7484	12315
378	7496	12283
379	7511	12255
380	7526	12228
381	7542	12201
382	7556	12172
383	7568	12141
384	7581	12110
385	7595	12082
386	7611	12056
387	7625	12028
388	7639	11999
389	7652	11969
390	7665	11939
391	7680	11912
392	7696	11888
393	7711	11861
394	7727	11835
395	7741	11808
396	7756	11781
397	7771	11754
398	7786	11728
399	7801	11702
400	7813	11672
401	7827	11644
402	7840	11615
403	7853	11585
404	7862	11551
405	7874	11521
406	7887	11492
407	7899	11462
408	7910	11429
409	7923	11401
410	7935	11372
411	7944	11338
412	7957	11309
413	7969	11280
414	7981	11251
415	7990	11217
416	8004	11191
417	8018	11163
418	8027	11130
419	8038	11100
420	8051	11073
421	8064	11045
422	8073	11013
423	8085	10984
424	8100	10959
425	8115	10934
426	8125	10903
427	8138	10876
428	8151	10849
429	8164	10822
430	8177	10795
431	8188	10766
432	8203	10742
433	8217	10716
434	8231	10692
435	8246	10666
436	8260	10641
437	8270	10612
438	8284	10587
439	8298	10562
440	8313	10537
441	8324	10508
442	8334	10478
443	8350	10457
444	8366	10434
445	8383	10413
446	8401	10393
447	8417	10371
448	8433	10349
449	8450	10328
450	8466	10305
451	8480	10282
452	8499	10262
453	8513	10239
454	8530	10217
455	8549	10198
456	8565	10176
457	8583	10157
458	8602	10139
459	8616	10115
460	8635	10096
461	8648	10070
462	8663	10048
463	8679	10026
464	8699	10008
465	8714	9985
466	8730	9964
467	8745	9941
468	8770	9929
469	8788	9910
470	8806	9890
471	8828	9875
472	8848	9858
473	8870	9843
474	8888	9823
475	8906	9804
476	8926	9787
477	8942	9766
478	8965	9751
479	8975	9723
480	8991	9701
481	9004	9677
482	9018	9652
483	9035	9632
484	9051	9611
485	9064	9586
486	9074	9558
487	9091	9538
488	9106	9516
489	9123	9496
490	9139	9474
491	9157	9455
492	9171	9431
493	9190	9414
494	9208	9394
495	9225	9373
496	9235	9347
497	9251	9326
498	9265	9303
499	9280	9280
500	9296	9259
501	9312	9238
502	9325	9213
503	9336	9188
504	9363	9177
505	9381	9159
506	9400	9140
507	9427	9130
508	9447	9113
509	9463	9092
510	9481	9073
511	9496	9051
512	9513	9031
513	9528	9009
514	9545	8989
515	9562	8969
516	9582	8952
517	9606	8938
518	9627	8923
519	9647	8905
520	9664	8885
521	9688	8872
522	9706	8852
523	9720	8830
524	9737	8809
525	9754	8790
526	9767	8766
527	9786	8748
528	9802	8727
529	9820	8708
530	9837	8689
531	9853	8668
532	9869	8647
533	9887	8628
534	9905	8609
535	9922	8589
536	9941	8571
537	9956	8550
538	9975	8531
539	9990	8510
540	10009	8492
541	10025	8471
542	10042	8451
543	10057	8430
544	10077	8413
545	10090	8390
546	10105	8369
547	10119	8347
548	10137	8328
549	10152	8306
550	10171	8288
551	10185	8266
552	10203	8247
553	10217	8225
554	10234	8205
555	10250	8185
556	10266	8165
557	10281	8143
558	10299	8125
559	10314	8104
560	10331	8084
561	10349	8065
562	10368	8048
563	10386	8029
564	10404	8010
565	10419	7989
566	10435	7969
567	10452	7949
568	10475	7934
569	10490	7913
570	10508	7895
571	10519	7871
572	10535	7851
573	10549	7829
574	10566	7810
575	10583	7790
576	10601	7771
577	10615	7750
578	10631	7730
579	10646	7709
580	10665	7691
581	10683	7673
582	10704	7656
583	10715	7632
584	10734	7615
585	10748	7593
586	10771	7578
587	10789	7559
588	10808	7542
589	10838	7531
590	10862	7517
591	10889	7505
592	10908	7486
593	10927	7469
594	10946	7450
595	10966	7433
596	10979	7411
597	11001	7395
598	11021	7378
599	11039	7359
600	11058	7341
601	11088	7330
602	11107	7313
603	11131	7298
604	11143	7275
605	11165	7259
606	11177	7236
607	11195	7218
608	11207	7195
609	11224	7176
610	11239	7155
611	11263	7140
612	11275	7118
613	11295	7101
614	11314	7082
615	11334	7065
616	11355	7048
617	11378	7033
618	11397	7015
619	11420	6999
620	11454	6990
621	11481	6977
622	11525	6974
623	11553	6961
624	11598	6958
625	11634	6950
626	11664	6939
627	11691	6925
628	11717	6910
629	11745	6898
630	11767	6881
631	11795	6868
632	11827	6857
633	11857	6845
634	11881	6829
635	11899	6810
636	11924	6795
637	11945	6777
638	11965	6759
639	11989	6743
640	12004	6723
641	12023	6704
642	12049	6689
643	12075	6675
644	12095	6657
645	12118	6640
646	12131	6618
647	12147	6598
648	12160	6576
649	12178	6557
650	12192	6536
651	12206	6515
652	12220	6494
653	12232	6471
654	12252	6453
655	12270	6434
656	12290	6416
657	12309	6398
658	12327	6378
659	12345	6359
660	12359	6338
661	12382	6322
662	12399	6302
663	12410	6280
664	12422	6258
665	12440	6239
666	12454	6218
667	12470	6197
668	12484	6176
669	12498	6155
670	12513	6135
671	12523	6112
672	12537	6091
673	12551	6070
674	12570	6052
675	12587	6032
676	12603	6013
677	12617	5992
678	12629	5970
679	12644	5950
680	12654	5927
681	12669	5907
682	12685	5887
683	12701	5868
684	12716	5847
685	12734	5828
686	12750	5809
687	12777	5794
688	12795	5775
689	12812	5756
690	12829	5737
691	12846	5717
692	12863	5698
693	12879	5679
694	12895	5659
695	12909	5638
696	12919	5616
697	12933	5595
698	12948	5575
699	12966	5557
700	12980	5536
701	12999	5518
702	13013	5497
703	13031	5479
704	13045	5458
705	13062	5439
706	13078	5420
707	13097	5401
708	13111	5381
709	13134	5364
710	13146	5343
711	13168	5326
712	13186	5308
713	13201	5287
714	13212	5266
715	13229	5247
716	13241	5226
717	13258	5207
718	13272	5187
719	13288	5167
720	13303	5147
721	13319	5128
722	13332	5108
723	13342	5086
724	13360	5067
725	13375	5047
726	13391	5028
727	13406	5009
728	13421	4989
729	13441	4971
730	13456	4951
731	13474	4933
732	13491	4914
733	13508	4895
734	13523	4875
735	13537	4855
736	13551	4835
737	13564	4815
738	13576	4795
739	13587	4774
740	13600	4753
741	13615	4734
742	13628	4713
743	13638	4692
744	13651	4672
745	13664	4652
746	13675	4631
747	13685	4610
748	13698	4590
749	13710	4570
750	13720	4549
751	13733	4529
752	13748	4509
753	13766	4491
754	13778	4471
755	13793	4451
756	13804	4431
757	13818	4411
758	13834	4392
759	13853	4374
760	13867	4355
761	13890	4338
762	13909	4320
763	13925	4301
764	13942	4283
765	13956	4263
766	13971	4244
767	13988	4225
768	14005	4207
769	14022	4188
770	14039	4169
771	14056	4151
772	14073	4132
773	14090	4114
774	14107	4095
775	14123	4076
776	14137	4057
777	14152	4038
778	14162	4017
779	14177	3998
780	14194	3980
781	14211	3961
782	14224	3942
783	14240	3923
784	14254	3903
785	14272	3885
786	14291	3868
787	14318	3852
788	14351	3837
789	14368	3819
790	14384	3800
791	14402	3782
792	14418	3763
793	14436	3745
794	14455	3727
795	14471	3708
796	14487	3690
797	14503	3671
798	14520	3652
799	14536	3634
800	14553	3615
801	14569	3596
802	14588	3579
803	14604	3560
804	14621	3541
805	14640	3523
806	14664	3507
807	14684	3489
808	14702	3471
809	14721	3453
810	14746	3436
811	14767	3419
812	14795	3403
813	14810	3384
814	14828	3365
815	14846	3347
816	14862	3329
817	14878	3310
818	14899	3292
819	14931	3277
820	14947	3259
821	14964	3240
822	14981	3222
823	15014	3206
824	15029	3188
825	15045	3169
826	15059	3150
827	15074	3131
828	15098	3114
829	15115	3095
830	15132	3077
831	15176	3064
832	15217	3050
833	15242	3033
834	15285	3020
835	15317	3004
836	15343	2988
837	15378	2972
838	15439	2962
839	15484	2949
840	15537	2937
841	15597	2926
842	15642	2913
843	15747	2910
844	15835	2904
845	15882	2891
846	15940	2879
847	16014	2870
848	16122	2867
849	16193	2857
850	16261	2847
851	16305	2832
852	16338	2815
853	16380	2800
854	16415	2783
855	16450	2767
856	16483	2750
857	16512	2732
858	16534	2714
859	16557	2695
860	16578	2676
861	16596	2657
862	16614	2637
863	16629	2617
864	16645	2597
865	16660	2577
866	16678	2558
867	16697	2539
868	16714	2519
869	16738	2501
870	16757	2481
871	16777	2462
872	16796	2443
873	16833	2426
874	16859	2408
875	16881	2389
876	16907	2371
877	16927	2352
878	16951	2333
879	16977	2315
880	17006	2297
881	17036	2279
882	17070	2261
883	17097	2243
884	17119	2224
885	17140	2205
886	17157	2185
887	17173	2166
888	17191	2146
889	17216	2127
890	17237	2108
891	17257	2089
892	17283	2070
893	17310	2052
894	17331	2033
895	17349	2013
896	17366	1994
897	17385	1974
898	17402	1955
899	17417	1935
900	17433	1915
901	17448	1895
902	17464	1876
903	17479	1856
904	17496	1836
905	17513	1817
906	17531	1797
907	17551	1778
908	17569	1758
909	17586	1739
910	17608	1720
911	17627	1700
912	17646	1681
913	17663	1662
914	17680	1642
915	17697	1622
916	17713	1603
917	17728	1583
918	17747	1564
919	17767	1544
920	17801	1526
921	17834	1508
922	17869	1490
923	17897	1472
924	17923	1453
925	17952	1434
926	17993	1416
927	18041	1399
928	18092	1382
929	18126	1364
930	18159	1345
931	18193	1327
932	18219	1308
933	18248	1289
934	18268	1270
935	18291	1250
936	18315	1231
937	18335	1211
938	18364	1193
939	18406	1174
940	18449	1156
941	18501	1139
942	18540	1120
943	18575	1101
944	18599	1082
945	18627	1063
946	18661	1044
947	18683	1024
948	18713	1005
949	18742	986
950	18765	966
951	18786	947
952	18810	927
953	18831	908
954	18851	888
955	18875	868
956	18898	849
957	18921	829
958	18947	810
959	18974	790
960	18991	770
961	19013	751
962	19038	731
963	19094	713
964	19115	693
965	19144	673
966	19173	654
967	19198	634
968	19224	615
969	19244	595
970	19268	575
971	19290	555
972	19312	535
973	19336	516
974	19359	496
975	19381	476
976	19403	456
977	19424	436
978	19447	417
979	19472	397
980	19496	377
981	19529	357
982	19566	338
983	19587	318
984	19617	298
985	19641	278
986	19667	259
987	19686	239
988	19705	219
989	19728	199
990	19748	179
991	19765	159
992	19783	139
993	19812	119
994	19837	99
995	19880	79
996	19913	59
997	19950	39
998	19977	19
999	20016	0
